id,week,ro_number,tech_initials,build_type,date_reviewed,labor_hours_billed,labor_hours_correct,parts_cost,total_estimated_cost,high_cost_flag,notes,labor_rate,labor_cost_billed,labor_cost_correct,cost_overcharge,issue_severity,action_quality,severity_score,op_risk_bucket,cost_per_hour_over,tech_incident_count,tech_cost_share,category_frequency,category_Incorrect Labor Time,category_Overlapping Labor,category_Unnecessary Repair,action_taken_Coaching Only,action_taken_Declined,action_taken_No Action,operation_group_Alignment,operation_group_Brakes,operation_group_Diagnostics,operation_group_Electrical,operation_group_Engine,operation_group_Interior,operation_group_Maintenance,operation_group_Noise / Rattle,operation_group_Steering,operation_group_Suspension,operation_group_TPMS,tpi
23,8,2343538,LP,Retail,2/23/2025,4.0,2.5,153.82,513.82,No,Unnecessary Repair on AC / HVAC work; review labor guide and WIP usage.,90,360,225,135,High,Corrected,3,Low-Risk,54.0,10,0.04980340760157274,47,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40.5
24,3,2343158,CH,Retail,1/21/2025,3.7,2.2,390.18,723.18,Yes,Added separate alignment line on top of steering component labor that already includes alignment.,90,333,198,135,High,Unaddressed,3,Low-Risk,61.36363636363636,12,0.05832241153342071,52,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,33.75
25,4,2343236,TB,Retail,1/23/2025,4.2,2.7,193.05,571.05,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,378,243,135,High,Corrected,3,Low-Risk,50.0,10,0.047182175622542594,52,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,40.5
26,6,2343418,FF,Retail,2/10/2025,4.2,2.7,434.26,812.26,Yes,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,378,243,135,High,Corrected,3,Low-Risk,50.0,12,0.0727391874180865,52,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,33.75
27,1,2343030,KM,Retail,1/1/2025,4.4,3.0,422.77,818.77,Yes,Overlapping Labor on Noise / Rattle work; review labor guide and WIP usage.,90,396,270,126,High,Unaddressed,3,Low-Risk,42.0,11,0.057667103538663174,52,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,34.36363636363637
28,7,2343454,JG,Retail,2/18/2025,2.7,1.3,394.54,637.54,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,243,117,126,High,Unaddressed,3,Low-Risk,96.92307692307692,10,0.04849279161205767,72,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,37.8
29,1,2343041,AL,Retail,1/4/2025,3.4,2.0,33.32,339.32,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,306,180,126,High,Unaddressed,3,High-Risk,63.0,9,0.035386631716906945,52,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,42.0
30,1,2343064,TB,Production,1/3/2025,4.0,2.6,83.96,443.96,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,360,234,126,High,Corrected,3,High-Risk,48.46153846153846,10,0.047182175622542594,52,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,37.8
31,3,2343159,KG,Production,1/18/2025,2.4,1.0,292.48,508.48,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,216,90,126,High,Unaddressed,3,High-Risk,126.0,13,0.07667103538663171,30,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,29.076923076923077
32,3,2343194,LP,Production,1/17/2025,1.8,0.4,6.48,168.48,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,162,36,126,High,Corrected,3,Low-Risk,315.0,10,0.04980340760157274,47,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,37.8
33,8,2343580,FF,Production,2/19/2025,1.7,0.3,47.97,200.97,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,153,27,126,High,Unaddressed,3,Low-Risk,420.0,12,0.0727391874180865,72,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,31.5
34,3,2343171,JC,Production,1/19/2025,2.5,1.1,97.12,322.12,No,Incorrect Labor Time on Noise / Rattle work; review labor guide and WIP usage.,90,225,99,126,High,Corrected,3,Low-Risk,114.54545454545453,6,0.026867627785058978,72,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,63.0
35,5,2343328,RL,Retail,1/30/2025,2.5,1.1,178.44,403.44,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,225,99,126,High,Corrected,3,Low-Risk,114.54545454545453,16,0.08453473132372215,52,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,23.625
36,4,2343253,RB,Retail,1/24/2025,3.6,2.2,41.04,365.04,No,Overlapping Labor on Interior work; review labor guide and WIP usage.,90,324,198,126,High,Corrected,3,Low-Risk,57.272727272727266,11,0.03669724770642202,52,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,34.36363636363637
37,1,2343047,RL,Retail,1/3/2025,1.7,0.4,286.9,439.9,Yes,High Cost Repair on Noise / Rattle work; review labor guide and WIP usage.,90,153,36,117,Medium,Unaddressed,2,Low-Risk,292.5,16,0.08453473132372215,30,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,14.625
38,2,2343119,KG,Production,1/12/2025,1.8,0.5,403.7,565.7,No,Brake noise diag performed with no worn components; pads and rotors within spec.,90,162,45,117,Medium,Unaddressed,2,High-Risk,234.0,13,0.07667103538663171,47,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,18.0
39,2,2343155,KM,Production,1/8/2025,3.4,2.1,316.12,622.12,Yes,High Cost Repair on Alignment work; review labor guide and WIP usage.,90,306,189,117,Medium,Other,2,Low-Risk,55.714285714285715,11,0.057667103538663174,30,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,21.272727272727273
40,3,2343186,FF,Retail,1/16/2025,2.6,1.3,297.09,531.09,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,234,117,117,Medium,Corrected,2,Low-Risk,90.0,12,0.0727391874180865,72,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.5
41,4,2343221,CS,Retail,1/23/2025,1.6,0.3,10.47,154.47,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,144,27,117,Medium,Corrected,2,High-Risk,390.0,7,0.039318479685452164,30,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,33.42857142857143
42,4,2343246,RL,Production,1/22/2025,1.6,0.3,427.77,571.77,No,Brake noise diag performed with no worn components; pads and rotors within spec.,90,144,27,117,Medium,Unaddressed,2,High-Risk,390.0,16,0.08453473132372215,47,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,14.625
43,5,2343280,RL,Production,1/31/2025,2.9,1.6,204.54,465.54,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,261,144,117,Medium,Corrected,2,High-Risk,73.125,16,0.08453473132372215,30,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14.625
44,8,2343570,TB,Production,2/19/2025,1.8,0.5,133.7,295.7,No,Added separate alignment line on top of steering component labor that already includes alignment.,90,162,45,117,Medium,Corrected,2,Low-Risk,234.0,10,0.047182175622542594,52,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,23.4
45,8,2343584,CS,Production,2/20/2025,3.7,2.4,122.47,455.47,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,333,216,117,Medium,Corrected,2,Low-Risk,48.75,7,0.039318479685452164,52,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,33.42857142857143
46,2,2343124,CM,Retail,1/9/2025,2.6,1.4,293.38,527.38,No,Incorrect Labor Time on Diagnostics work; review labor guide and WIP usage.,90,234,126,108,Medium,Other,2,Low-Risk,77.14285714285715,10,0.05701179554390563,72,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,21.6
47,3,2343209,DF,Production,1/19/2025,1.9,0.7,206.21,377.21,No,Overlapping Labor on Engine work; review labor guide and WIP usage.,90,171,63,108,Medium,Unaddressed,2,Low-Risk,154.2857142857143,12,0.06946264744429882,52,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,18.0
48,8,2343582,CH,Retail,2/21/2025,2.4,1.2,195.67,411.67,No,Full R&R door panel labor used instead of R&I for switch access (1.1/0.3).,90,216,108,108,Medium,Corrected,2,High-Risk,90.0,12,0.05832241153342071,72,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,18.0
49,8,2343561,JC,Production,2/23/2025,2.8,1.6,78.92,330.92,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,252,144,108,Medium,Corrected,2,Low-Risk,67.5,6,0.026867627785058978,72,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,36.0
50,6,2343345,AD,Production,2/7/2025,2.3,1.1,77.54,284.54,No,Unnecessary Repair on Electrical work; review labor guide and WIP usage.,90,207,99,108,Medium,Unaddressed,2,High-Risk,98.18181818181817,10,0.04980340760157274,47,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,21.6
51,1,2343046,DF,Retail,1/6/2025,3.9,2.8,148.9,499.9,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,351,252,99,Medium,Other,2,Low-Risk,35.35714285714286,12,0.06946264744429882,72,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,16.5
52,5,2343285,LP,Production,2/3/2025,2.2,1.1,124.82,322.82,No,Used full R&R rotor and pad labor instead of combo labor (0.9/0.3).,90,198,99,99,Medium,Corrected,2,High-Risk,89.99999999999999,10,0.04980340760157274,72,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,19.8
53,7,2343486,KM,Production,2/17/2025,2.5,1.4,179.55,404.55,Yes,High Cost Repair on Steering work; review labor guide and WIP usage.,90,225,126,99,Medium,Corrected,2,Low-Risk,70.71428571428572,11,0.057667103538663174,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,18.0
54,2,2343092,DF,Production,1/8/2025,1.8,0.7,285.09,447.09,No,Unnecessary Repair on Electrical work; review labor guide and WIP usage.,90,162,63,99,Medium,Corrected,2,High-Risk,141.42857142857144,12,0.06946264744429882,47,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,16.5
55,3,2343203,RL,Production,1/21/2025,2.9,1.8,20.39,281.39,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,261,162,99,Medium,Corrected,2,Low-Risk,55.0,16,0.08453473132372215,72,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.375
56,5,2343289,DF,Production,1/31/2025,1.8,0.7,34.98,196.98,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,162,63,99,Medium,Corrected,2,High-Risk,141.42857142857144,12,0.06946264744429882,52,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16.5
57,5,2343309,AL,Production,1/29/2025,4.3,3.2,102.89,489.89,No,Unnecessary Repair on AC / HVAC work; review labor guide and WIP usage.,90,387,288,99,Medium,Corrected,2,Low-Risk,30.9375,9,0.035386631716906945,47,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,22.0
58,6,2343414,ZT,Retail,2/9/2025,3.5,2.4,212.21,527.21,No,Used full R&R rotor and pad labor instead of combo labor (1.6/0.9).,90,315,216,99,Medium,Unaddressed,2,High-Risk,41.25,5,0.017693315858453473,72,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,39.6
59,6,2343376,KG,Retail,2/5/2025,4.0,2.9,305.6,665.6,Yes,Unnecessary Repair on Interior work; review labor guide and WIP usage.,90,360,261,99,Medium,Corrected,2,Low-Risk,34.13793103448276,13,0.07667103538663171,47,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,15.23076923076923
60,7,2343447,SB,Production,2/17/2025,3.6,2.5,240.06,564.06,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,324,225,99,Medium,Corrected,2,High-Risk,39.6,4,0.022280471821756225,52,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,49.5
61,8,2343578,AD,Production,2/21/2025,1.4,0.3,23.14,149.14,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,126,27,99,Medium,Unaddressed,2,Low-Risk,330.0,10,0.04980340760157274,72,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,19.8
62,7,2343464,AD,Production,2/15/2025,4.1,3.0,180.38,549.38,No,Full R&R door panel labor used instead of R&I for switch access (1.8/0.4).,90,369,270,99,Medium,Unaddressed,2,High-Risk,33.0,10,0.04980340760157274,72,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,19.8
63,6,2343369,DF,Production,2/7/2025,2.2,1.2,109.11,307.11,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,198,108,90,Medium,Unaddressed,2,High-Risk,75.0,12,0.06946264744429882,30,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,15.0
64,2,2343131,DF,Production,1/13/2025,3.1,2.1,42.15,321.15,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,279,189,90,Medium,Unaddressed,2,Low-Risk,42.857142857142854,12,0.06946264744429882,52,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,15.0
65,2,2343136,CM,Retail,1/9/2025,1.3,0.3,176.89,293.89,No,"Multiple diag lines (ABS, lane departure, CEL) for same root cause issue.",90,117,27,90,Medium,Corrected,2,Low-Risk,300.0,10,0.05701179554390563,52,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,18.0
66,2,2343087,GM,Retail,1/9/2025,1.3,0.3,342.73,459.73,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,117,27,90,Medium,Corrected,2,Low-Risk,300.0,5,0.026867627785058978,72,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,36.0
67,3,2343190,AD,Production,1/19/2025,3.4,2.4,275.27,581.27,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,306,216,90,Medium,Corrected,2,High-Risk,37.5,10,0.04980340760157274,52,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,18.0
68,4,2343267,JD,Retail,1/26/2025,3.6,2.6,190.9,514.9,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,324,234,90,Medium,Unaddressed,2,Low-Risk,34.61538461538461,7,0.03407601572739188,52,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,25.714285714285715
69,6,2343402,RB,Production,2/11/2025,2.6,1.6,125.99,359.99,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,234,144,90,Medium,Unaddressed,2,Low-Risk,56.25,11,0.03669724770642202,72,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,16.363636363636363
70,7,2343523,SB,Retail,2/15/2025,1.3,0.3,8.87,125.87,No,Overlapping Labor on Interior work; review labor guide and WIP usage.,90,117,27,90,Medium,Unaddressed,2,Low-Risk,300.0,4,0.022280471821756225,52,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,45.0
71,8,2343555,AD,Production,2/19/2025,1.5,0.5,293.14,428.14,No,Used full R&R rotor and pad labor instead of combo labor (3.0/2.5).,90,135,45,90,Medium,Unaddressed,2,High-Risk,180.0,10,0.04980340760157274,72,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,18.0
72,5,2343294,JG,Production,1/31/2025,3.2,2.2,139.29,427.29,No,Full R&R door panel labor used instead of R&I for switch access (2.9/1.8).,90,288,198,90,Medium,Corrected,2,High-Risk,40.90909090909091,10,0.04849279161205767,72,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,18.0
73,7,2343461,KG,Production,2/17/2025,3.2,2.2,113.31,401.31,No,Unnecessary Repair on Electrical work; review labor guide and WIP usage.,90,288,198,90,Medium,Corrected,2,High-Risk,40.90909090909091,13,0.07667103538663171,47,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,13.846153846153847
74,3,2343177,RL,Retail,1/15/2025,4.4,3.5,145.33,541.33,No,Overlapping Labor on Steering work; review labor guide and WIP usage.,90,396,315,81,Medium,Unaddressed,2,Low-Risk,23.142857142857142,16,0.08453473132372215,52,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,10.125
75,1,2343053,ZT,Production,1/5/2025,2.4,1.5,192.39,408.39,Yes,High cost AC repair compared to guide; compressor and condenser replaced together.,90,216,135,81,Medium,Unaddressed,2,Low-Risk,54.0,5,0.017693315858453473,30,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,32.4
76,1,2343075,JD,Production,1/1/2025,1.7,0.8,316.36,469.36,No,Overlapping Labor on Maintenance work; review labor guide and WIP usage.,90,153,72,81,Medium,Corrected,2,Low-Risk,101.25,7,0.03407601572739188,52,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,23.142857142857142
77,3,2343199,FF,Production,1/16/2025,2.4,1.5,77.94,293.94,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,216,135,81,Medium,Corrected,2,High-Risk,54.0,12,0.0727391874180865,52,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,13.5
78,8,2343546,FF,Production,2/24/2025,3.9,3.0,402.55,753.55,Yes,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,351,270,81,Medium,Corrected,2,Low-Risk,27.0,12,0.0727391874180865,52,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,13.5
79,8,2343564,GM,Retail,2/20/2025,1.9,1.0,21.13,192.13,No,TPMS diag 0.8 with no faults found; tire pressure was low only.,90,171,90,81,Medium,Other,2,Low-Risk,81.0,5,0.026867627785058978,47,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,32.4
80,2,2343139,JC,Retail,1/9/2025,3.6,2.7,259.61,583.61,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,324,243,81,Medium,Unaddressed,2,High-Risk,29.999999999999996,6,0.026867627785058978,30,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,27.0
81,7,2343509,SS,Production,2/15/2025,3.6,2.8,235.98,559.98,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,324,252,72,Low,Other,1,Low-Risk,25.714285714285715,6,0.03145478374836173,72,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,12.0
82,8,2343590,KC,Retail,2/25/2025,1.1,0.3,392.83,491.83,No,Unnecessary Repair on Interior work; review labor guide and WIP usage.,90,99,27,72,Low,Corrected,1,Low-Risk,240.0,3,0.009829619921363041,47,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,24.0
83,2,2343146,RN,Retail,1/8/2025,4.2,3.4,434.99,812.99,Yes,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,378,306,72,Low,Corrected,1,High-Risk,21.176470588235293,8,0.028833551769331587,52,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,9.0
84,4,2343255,SB,Retail,1/23/2025,2.6,1.8,399.47,633.47,No,TPMS diag 1.4 with no faults found; tire pressure was low only.,90,234,162,72,Low,Other,1,Low-Risk,40.0,4,0.022280471821756225,47,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,18.0
85,5,2343298,LP,Retail,2/1/2025,2.9,2.1,419.73,680.73,Yes,Used full R&R rotor and pad labor instead of combo labor (3.1/2.8).,90,261,189,72,Low,Unaddressed,1,High-Risk,34.285714285714285,10,0.04980340760157274,72,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,7.2
86,6,2343363,TB,Production,2/5/2025,1.8,1.0,336.36,498.36,No,Added separate labor to remove under shield in addition to oil change line.,90,162,90,72,Low,Corrected,1,Low-Risk,72.0,10,0.047182175622542594,47,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7.2
87,6,2343407,KG,Production,2/9/2025,1.7,0.9,228.42,381.42,Yes,High Cost Repair on Maintenance work; review labor guide and WIP usage.,90,153,81,72,Low,Unaddressed,1,Low-Risk,80.0,13,0.07667103538663171,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,5.538461538461538
88,7,2343492,AL,Production,2/16/2025,1.2,0.4,63.39,171.39,No,Added separate alignment line on top of steering component labor that already includes alignment.,90,108,36,72,Low,Corrected,1,Low-Risk,180.0,9,0.035386631716906945,52,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,8.0
