id,week,ro_number,tech_initials,category,action_taken,operation_group,build_type,date_reviewed,labor_hours_billed,labor_hours_correct,parts_cost,total_estimated_cost,high_cost_flag,notes,labor_rate,labor_cost_billed,labor_cost_correct,cost_overcharge,issue_severity,action_quality,severity_score,op_risk_bucket
11,1,2343069,FF,Incorrect Labor Time,Adjusted Labor,Engine,Production,1/2/2025,3.7,2.1,143.1,476.1,No,Incorrect Labor Time on Engine work; review labor guide and WIP usage.,90,333,189,144,High,Corrected,3,Low-Risk
12,3,2343213,RN,Overlapping Labor,Declined,Brakes,Retail,1/20/2025,1.9,0.3,407.41,578.41,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,171,27,144,High,Corrected,3,High-Risk
13,6,2343368,KM,Overlapping Labor,Adjusted Labor,TPMS,Production,2/6/2025,3.3,1.7,230.25,527.25,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,297,153,144,High,Corrected,3,Low-Risk
14,7,2343494,KM,Incorrect Labor Time,Adjusted Labor,Maintenance,Retail,2/18/2025,2.1,0.5,163.08,352.08,No,Retail diagnostic labor (2.2/1.2) used instead of production WIP line.,90,189,45,144,High,Corrected,3,Low-Risk
15,7,2343482,FF,Incorrect Labor Time,Coaching Only,TPMS,Retail,2/15/2025,4.4,2.9,56.1,452.1,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,396,261,135,High,Other,3,Low-Risk
16,5,2343308,RL,Unnecessary Repair,Adjusted Labor,Engine,Production,2/3/2025,4.3,2.8,111.31,498.31,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,387,252,135,High,Corrected,3,Low-Risk
17,1,2343072,KG,High Cost Repair,No Action,Electrical,Production,1/1/2025,2.1,0.6,387.33,576.33,Yes,High Cost Repair on Electrical work; review labor guide and WIP usage.,90,189,54,135,High,Unaddressed,3,High-Risk
18,2,2343112,GM,Overlapping Labor,Adjusted Labor,Suspension,Production,1/14/2025,3.1,1.6,249.84,528.84,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,279,144,135,High,Corrected,3,Low-Risk
19,3,2343204,CH,Unnecessary Repair,No Action,Steering,Production,1/19/2025,2.4,0.9,296.41,512.41,No,Unnecessary Repair on Steering work; review labor guide and WIP usage.,90,216,81,135,High,Unaddressed,3,Low-Risk
20,5,2343318,SS,High Cost Repair,Coaching Only,AC / HVAC,Production,2/2/2025,2.5,1,248.36,473.36,Yes,High cost AC repair compared to guide; compressor and condenser replaced together.,90,225,90,135,High,Other,3,Low-Risk
21,6,2343385,CS,Incorrect Labor Time,Declined,Electrical,Retail,2/6/2025,1.8,0.3,272.6,434.6,No,Full R&R door panel labor used instead of R&I for switch access (1.1/0.8).,90,162,27,135,High,Corrected,3,High-Risk
22,8,2343528,JG,High Cost Repair,No Action,Electrical,Retail,2/19/2025,3.3,1.8,373.6,670.6,Yes,High Cost Repair on Electrical work; review labor guide and WIP usage.,90,297,162,135,High,Unaddressed,3,High-Risk
23,8,2343538,LP,Unnecessary Repair,Adjusted Labor,AC / HVAC,Retail,2/23/2025,4,2.5,153.82,513.82,No,Unnecessary Repair on AC / HVAC work; review labor guide and WIP usage.,90,360,225,135,High,Corrected,3,Low-Risk
24,3,2343158,CH,Overlapping Labor,No Action,Alignment,Retail,1/21/2025,3.7,2.2,390.18,723.18,Yes,Added separate alignment line on top of steering component labor that already includes alignment.,90,333,198,135,High,Unaddressed,3,Low-Risk
25,4,2343236,TB,Overlapping Labor,Declined,Suspension,Retail,1/23/2025,4.2,2.7,193.05,571.05,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,378,243,135,High,Corrected,3,Low-Risk
26,6,2343418,FF,Overlapping Labor,Declined,Suspension,Retail,2/10/2025,4.2,2.7,434.26,812.26,Yes,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,378,243,135,High,Corrected,3,Low-Risk
27,1,2343030,KM,Overlapping Labor,No Action,Noise / Rattle,Retail,1/1/2025,4.4,3,422.77,818.77,Yes,Overlapping Labor on Noise / Rattle work; review labor guide and WIP usage.,90,396,270,126,High,Unaddressed,3,Low-Risk
28,7,2343454,JG,Incorrect Labor Time,No Action,Alignment,Retail,2/18/2025,2.7,1.3,394.54,637.54,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,243,117,126,High,Unaddressed,3,Low-Risk
29,1,2343041,AL,Overlapping Labor,No Action,Electrical,Retail,1/4/2025,3.4,2,33.32,339.32,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,306,180,126,High,Unaddressed,3,High-Risk
30,1,2343064,TB,Overlapping Labor,Adjusted Labor,Electrical,Production,1/3/2025,4,2.6,83.96,443.96,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,360,234,126,High,Corrected,3,High-Risk
31,3,2343159,KG,High Cost Repair,No Action,Brakes,Production,1/18/2025,2.4,1,292.48,508.48,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,216,90,126,High,Unaddressed,3,High-Risk
32,3,2343194,LP,Unnecessary Repair,Adjusted Labor,Engine,Production,1/17/2025,1.8,0.4,6.48,168.48,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,162,36,126,High,Corrected,3,Low-Risk
33,8,2343580,FF,Incorrect Labor Time,No Action,AC / HVAC,Production,2/19/2025,1.7,0.3,47.97,200.97,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,153,27,126,High,Unaddressed,3,Low-Risk
34,3,2343171,JC,Incorrect Labor Time,Adjusted Labor,Noise / Rattle,Production,1/19/2025,2.5,1.1,97.12,322.12,No,Incorrect Labor Time on Noise / Rattle work; review labor guide and WIP usage.,90,225,99,126,High,Corrected,3,Low-Risk
35,5,2343328,RL,Overlapping Labor,Adjusted Labor,TPMS,Retail,1/30/2025,2.5,1.1,178.44,403.44,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,225,99,126,High,Corrected,3,Low-Risk
36,4,2343253,RB,Overlapping Labor,Declined,Interior,Retail,1/24/2025,3.6,2.2,41.04,365.04,No,Overlapping Labor on Interior work; review labor guide and WIP usage.,90,324,198,126,High,Corrected,3,Low-Risk
37,1,2343047,RL,High Cost Repair,No Action,Noise / Rattle,Retail,1/3/2025,1.7,0.4,286.9,439.9,Yes,High Cost Repair on Noise / Rattle work; review labor guide and WIP usage.,90,153,36,117,Medium,Unaddressed,2,Low-Risk
38,2,2343119,KG,Unnecessary Repair,No Action,Brakes,Production,1/12/2025,1.8,0.5,403.7,565.7,No,Brake noise diag performed with no worn components; pads and rotors within spec.,90,162,45,117,Medium,Unaddressed,2,High-Risk
39,2,2343155,KM,High Cost Repair,Coaching Only,Alignment,Production,1/8/2025,3.4,2.1,316.12,622.12,Yes,High Cost Repair on Alignment work; review labor guide and WIP usage.,90,306,189,117,Medium,Other,2,Low-Risk
40,3,2343186,FF,Incorrect Labor Time,Adjusted Labor,Alignment,Retail,1/16/2025,2.6,1.3,297.09,531.09,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,234,117,117,Medium,Corrected,2,Low-Risk
41,4,2343221,CS,High Cost Repair,Adjusted Labor,Brakes,Retail,1/23/2025,1.6,0.3,10.47,154.47,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,144,27,117,Medium,Corrected,2,High-Risk
42,4,2343246,RL,Unnecessary Repair,No Action,Brakes,Production,1/22/2025,1.6,0.3,427.77,571.77,No,Brake noise diag performed with no worn components; pads and rotors within spec.,90,144,27,117,Medium,Unaddressed,2,High-Risk
43,5,2343280,RL,High Cost Repair,Adjusted Labor,Brakes,Production,1/31/2025,2.9,1.6,204.54,465.54,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,261,144,117,Medium,Corrected,2,High-Risk
44,8,2343570,TB,Overlapping Labor,Declined,Alignment,Production,2/19/2025,1.8,0.5,133.7,295.7,No,Added separate alignment line on top of steering component labor that already includes alignment.,90,162,45,117,Medium,Corrected,2,Low-Risk
45,8,2343584,CS,Overlapping Labor,Adjusted Labor,Suspension,Production,2/20/2025,3.7,2.4,122.47,455.47,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,333,216,117,Medium,Corrected,2,Low-Risk
46,2,2343124,CM,Incorrect Labor Time,Coaching Only,Diagnostics,Retail,1/9/2025,2.6,1.4,293.38,527.38,No,Incorrect Labor Time on Diagnostics work; review labor guide and WIP usage.,90,234,126,108,Medium,Other,2,Low-Risk
47,3,2343209,DF,Overlapping Labor,No Action,Engine,Production,1/19/2025,1.9,0.7,206.21,377.21,No,Overlapping Labor on Engine work; review labor guide and WIP usage.,90,171,63,108,Medium,Unaddressed,2,Low-Risk
48,8,2343582,CH,Incorrect Labor Time,Declined,Electrical,Retail,2/21/2025,2.4,1.2,195.67,411.67,No,Full R&R door panel labor used instead of R&I for switch access (1.1/0.3).,90,216,108,108,Medium,Corrected,2,High-Risk
49,8,2343561,JC,Incorrect Labor Time,Adjusted Labor,Steering,Production,2/23/2025,2.8,1.6,78.92,330.92,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,252,144,108,Medium,Corrected,2,Low-Risk
50,6,2343345,AD,Unnecessary Repair,No Action,Electrical,Production,2/7/2025,2.3,1.1,77.54,284.54,No,Unnecessary Repair on Electrical work; review labor guide and WIP usage.,90,207,99,108,Medium,Unaddressed,2,High-Risk
51,1,2343046,DF,Incorrect Labor Time,Coaching Only,Alignment,Retail,1/6/2025,3.9,2.8,148.9,499.9,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,351,252,99,Medium,Other,2,Low-Risk
52,5,2343285,LP,Incorrect Labor Time,Declined,Brakes,Production,2/3/2025,2.2,1.1,124.82,322.82,No,Used full R&R rotor and pad labor instead of combo labor (0.9/0.3).,90,198,99,99,Medium,Corrected,2,High-Risk
53,7,2343486,KM,High Cost Repair,Adjusted Labor,Steering,Production,2/17/2025,2.5,1.4,179.55,404.55,Yes,High Cost Repair on Steering work; review labor guide and WIP usage.,90,225,126,99,Medium,Corrected,2,Low-Risk
54,2,2343092,DF,Unnecessary Repair,Adjusted Labor,Electrical,Production,1/8/2025,1.8,0.7,285.09,447.09,No,Unnecessary Repair on Electrical work; review labor guide and WIP usage.,90,162,63,99,Medium,Corrected,2,High-Risk
55,3,2343203,RL,Incorrect Labor Time,Adjusted Labor,Steering,Production,1/21/2025,2.9,1.8,20.39,281.39,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,261,162,99,Medium,Corrected,2,Low-Risk
56,5,2343289,DF,Overlapping Labor,Adjusted Labor,Brakes,Production,1/31/2025,1.8,0.7,34.98,196.98,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,162,63,99,Medium,Corrected,2,High-Risk
57,5,2343309,AL,Unnecessary Repair,Declined,AC / HVAC,Production,1/29/2025,4.3,3.2,102.89,489.89,No,Unnecessary Repair on AC / HVAC work; review labor guide and WIP usage.,90,387,288,99,Medium,Corrected,2,Low-Risk
58,6,2343414,ZT,Incorrect Labor Time,No Action,Brakes,Retail,2/9/2025,3.5,2.4,212.21,527.21,No,Used full R&R rotor and pad labor instead of combo labor (1.6/0.9).,90,315,216,99,Medium,Unaddressed,2,High-Risk
59,6,2343376,KG,Unnecessary Repair,Declined,Interior,Retail,2/5/2025,4,2.9,305.6,665.6,Yes,Unnecessary Repair on Interior work; review labor guide and WIP usage.,90,360,261,99,Medium,Corrected,2,Low-Risk
60,7,2343447,SB,Overlapping Labor,Adjusted Labor,Electrical,Production,2/17/2025,3.6,2.5,240.06,564.06,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,324,225,99,Medium,Corrected,2,High-Risk
61,8,2343578,AD,Incorrect Labor Time,No Action,AC / HVAC,Production,2/21/2025,1.4,0.3,23.14,149.14,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,126,27,99,Medium,Unaddressed,2,Low-Risk
62,7,2343464,AD,Incorrect Labor Time,No Action,Electrical,Production,2/15/2025,4.1,3,180.38,549.38,No,Full R&R door panel labor used instead of R&I for switch access (1.8/0.4).,90,369,270,99,Medium,Unaddressed,2,High-Risk
63,6,2343369,DF,High Cost Repair,No Action,Brakes,Production,2/7/2025,2.2,1.2,109.11,307.11,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,198,108,90,Medium,Unaddressed,2,High-Risk
64,2,2343131,DF,Overlapping Labor,No Action,Suspension,Production,1/13/2025,3.1,2.1,42.15,321.15,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,279,189,90,Medium,Unaddressed,2,Low-Risk
65,2,2343136,CM,Overlapping Labor,Declined,Diagnostics,Retail,1/9/2025,1.3,0.3,176.89,293.89,No,"Multiple diag lines (ABS, lane departure, CEL) for same root cause issue.",90,117,27,90,Medium,Corrected,2,Low-Risk
66,2,2343087,GM,Incorrect Labor Time,Adjusted Labor,Alignment,Retail,1/9/2025,1.3,0.3,342.73,459.73,No,Incorrect Labor Time on Alignment work; review labor guide and WIP usage.,90,117,27,90,Medium,Corrected,2,Low-Risk
67,3,2343190,AD,Overlapping Labor,Adjusted Labor,Electrical,Production,1/19/2025,3.4,2.4,275.27,581.27,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,306,216,90,Medium,Corrected,2,High-Risk
68,4,2343267,JD,Overlapping Labor,No Action,Suspension,Retail,1/26/2025,3.6,2.6,190.9,514.9,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,324,234,90,Medium,Unaddressed,2,Low-Risk
69,6,2343402,RB,Incorrect Labor Time,No Action,Steering,Production,2/11/2025,2.6,1.6,125.99,359.99,No,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,234,144,90,Medium,Unaddressed,2,Low-Risk
70,7,2343523,SB,Overlapping Labor,No Action,Interior,Retail,2/15/2025,1.3,0.3,8.87,125.87,No,Overlapping Labor on Interior work; review labor guide and WIP usage.,90,117,27,90,Medium,Unaddressed,2,Low-Risk
71,8,2343555,AD,Incorrect Labor Time,No Action,Brakes,Production,2/19/2025,1.5,0.5,293.14,428.14,No,Used full R&R rotor and pad labor instead of combo labor (3.0/2.5).,90,135,45,90,Medium,Unaddressed,2,High-Risk
72,5,2343294,JG,Incorrect Labor Time,Declined,Electrical,Production,1/31/2025,3.2,2.2,139.29,427.29,No,Full R&R door panel labor used instead of R&I for switch access (2.9/1.8).,90,288,198,90,Medium,Corrected,2,High-Risk
73,7,2343461,KG,Unnecessary Repair,Declined,Electrical,Production,2/17/2025,3.2,2.2,113.31,401.31,No,Unnecessary Repair on Electrical work; review labor guide and WIP usage.,90,288,198,90,Medium,Corrected,2,High-Risk
74,3,2343177,RL,Overlapping Labor,No Action,Steering,Retail,1/15/2025,4.4,3.5,145.33,541.33,No,Overlapping Labor on Steering work; review labor guide and WIP usage.,90,396,315,81,Medium,Unaddressed,2,Low-Risk
75,1,2343053,ZT,High Cost Repair,No Action,AC / HVAC,Production,1/5/2025,2.4,1.5,192.39,408.39,Yes,High cost AC repair compared to guide; compressor and condenser replaced together.,90,216,135,81,Medium,Unaddressed,2,Low-Risk
76,1,2343075,JD,Overlapping Labor,Adjusted Labor,Maintenance,Production,1/1/2025,1.7,0.8,316.36,469.36,No,Overlapping Labor on Maintenance work; review labor guide and WIP usage.,90,153,72,81,Medium,Corrected,2,Low-Risk
77,3,2343199,FF,Overlapping Labor,Adjusted Labor,Electrical,Production,1/16/2025,2.4,1.5,77.94,293.94,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,216,135,81,Medium,Corrected,2,High-Risk
78,8,2343546,FF,Overlapping Labor,Declined,Suspension,Production,2/24/2025,3.9,3,402.55,753.55,Yes,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,351,270,81,Medium,Corrected,2,Low-Risk
79,8,2343564,GM,Unnecessary Repair,Coaching Only,TPMS,Retail,2/20/2025,1.9,1,21.13,192.13,No,TPMS diag 0.8 with no faults found; tire pressure was low only.,90,171,90,81,Medium,Other,2,Low-Risk
80,2,2343139,JC,High Cost Repair,No Action,Brakes,Retail,1/9/2025,3.6,2.7,259.61,583.61,Yes,High Cost Repair on Brakes work; review labor guide and WIP usage.,90,324,243,81,Medium,Unaddressed,2,High-Risk
81,7,2343509,SS,Incorrect Labor Time,Coaching Only,TPMS,Production,2/15/2025,3.6,2.8,235.98,559.98,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,324,252,72,Low,Other,1,Low-Risk
82,8,2343590,KC,Unnecessary Repair,Adjusted Labor,Interior,Retail,2/25/2025,1.1,0.3,392.83,491.83,No,Unnecessary Repair on Interior work; review labor guide and WIP usage.,90,99,27,72,Low,Corrected,1,Low-Risk
83,2,2343146,RN,Overlapping Labor,Declined,Electrical,Retail,1/8/2025,4.2,3.4,434.99,812.99,Yes,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,378,306,72,Low,Corrected,1,High-Risk
84,4,2343255,SB,Unnecessary Repair,Coaching Only,TPMS,Retail,1/23/2025,2.6,1.8,399.47,633.47,No,TPMS diag 1.4 with no faults found; tire pressure was low only.,90,234,162,72,Low,Other,1,Low-Risk
85,5,2343298,LP,Incorrect Labor Time,No Action,Brakes,Retail,2/1/2025,2.9,2.1,419.73,680.73,Yes,Used full R&R rotor and pad labor instead of combo labor (3.1/2.8).,90,261,189,72,Low,Unaddressed,1,High-Risk
86,6,2343363,TB,Unnecessary Repair,Adjusted Labor,Maintenance,Production,2/5/2025,1.8,1,336.36,498.36,No,Added separate labor to remove under shield in addition to oil change line.,90,162,90,72,Low,Corrected,1,Low-Risk
87,6,2343407,KG,High Cost Repair,No Action,Maintenance,Production,2/9/2025,1.7,0.9,228.42,381.42,Yes,High Cost Repair on Maintenance work; review labor guide and WIP usage.,90,153,81,72,Low,Unaddressed,1,Low-Risk
88,7,2343492,AL,Overlapping Labor,Adjusted Labor,Alignment,Production,2/16/2025,1.2,0.4,63.39,171.39,No,Added separate alignment line on top of steering component labor that already includes alignment.,90,108,36,72,Low,Corrected,1,Low-Risk
89,1,2343060,CS,Incorrect Labor Time,Adjusted Labor,AC / HVAC,Production,1/7/2025,1.3,0.6,340,457,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,117,54,63,Low,Corrected,1,Low-Risk
90,2,2343102,CM,High Cost Repair,Adjusted Labor,Noise / Rattle,Production,1/11/2025,1,0.3,174.03,264.03,Yes,High Cost Repair on Noise / Rattle work; review labor guide and WIP usage.,90,90,27,63,Low,Corrected,1,Low-Risk
91,2,2343148,TB,Unnecessary Repair,Adjusted Labor,Engine,Production,1/8/2025,1.5,0.8,383.01,518.01,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,135,72,63,Low,Corrected,1,Low-Risk
92,3,2343184,CS,Incorrect Labor Time,Adjusted Labor,Brakes,Production,1/18/2025,3.2,2.5,77.98,365.98,No,Used full R&R rotor and pad labor instead of combo labor (0.8/0.3).,90,288,225,63,Low,Corrected,1,High-Risk
93,4,2343232,KG,Incorrect Labor Time,No Action,AC / HVAC,Retail,1/28/2025,4.5,3.8,167.41,572.41,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,405,342,63,Low,Unaddressed,1,Low-Risk
94,5,2343297,JD,Incorrect Labor Time,Adjusted Labor,Brakes,Production,1/31/2025,1,0.3,370.14,460.14,No,Used full R&R rotor and pad labor instead of combo labor (3.3/2.2).,90,90,27,63,Low,Corrected,1,High-Risk
95,6,2343433,AD,Incorrect Labor Time,Adjusted Labor,Steering,Retail,2/11/2025,4,3.3,367.47,727.47,Yes,Incorrect Labor Time on Steering work; review labor guide and WIP usage.,90,360,297,63,Low,Corrected,1,Low-Risk
96,6,2343391,KG,High Cost Repair,No Action,Steering,Retail,2/5/2025,1,0.3,36.11,126.11,Yes,High Cost Repair on Steering work; review labor guide and WIP usage.,90,90,27,63,Low,Unaddressed,1,Low-Risk
97,6,2343429,DF,Overlapping Labor,Adjusted Labor,Electrical,Production,2/6/2025,1,0.3,299.34,389.34,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,90,27,63,Low,Corrected,1,High-Risk
98,7,2343522,FF,Incorrect Labor Time,Declined,Suspension,Retail,2/17/2025,1,0.3,296.52,386.52,No,Incorrect Labor Time on Suspension work; review labor guide and WIP usage.,90,90,27,63,Low,Corrected,1,Low-Risk
99,7,2343525,CH,Incorrect Labor Time,Declined,Electrical,Retail,2/15/2025,1,0.3,107.18,197.18,No,Full R&R door panel labor used instead of R&I for switch access (0.6/0.3).,90,90,27,63,Low,Corrected,1,High-Risk
100,5,2343304,GM,Incorrect Labor Time,No Action,Brakes,Production,2/1/2025,2.3,1.6,123.03,330.03,No,Used full R&R rotor and pad labor instead of combo labor (0.5/0.3).,90,207,144,63,Low,Unaddressed,1,High-Risk
101,5,2343303,SS,Unnecessary Repair,Adjusted Labor,TPMS,Production,1/31/2025,2.8,2.1,436.46,688.46,Yes,TPMS diag 3.0 with no faults found; tire pressure was low only.,90,252,189,63,Low,Corrected,1,Low-Risk
102,5,2343323,JD,Incorrect Labor Time,No Action,TPMS,Retail,1/31/2025,2.8,2.1,196.86,448.86,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,252,189,63,Low,Unaddressed,1,Low-Risk
103,4,2343241,DF,High Cost Repair,Coaching Only,Engine,Production,1/26/2025,4.1,3.4,4.88,373.88,Yes,High cost engine repair; multiple overlapping labor lines on same concern.,90,369,306,63,Low,Other,1,Low-Risk
104,7,2343441,SS,Overlapping Labor,Adjusted Labor,Noise / Rattle,Retail,2/13/2025,4.1,3.4,244.6,613.6,No,Overlapping Labor on Noise / Rattle work; review labor guide and WIP usage.,90,369,306,63,Low,Corrected,1,Low-Risk
105,2,2343129,RB,Unnecessary Repair,Adjusted Labor,TPMS,Retail,1/10/2025,1.3,0.7,335.92,452.92,No,TPMS diag 2.4 with no faults found; tire pressure was low only.,90,117,63,54,Low,Corrected,1,Low-Risk
106,1,2343025,TB,Overlapping Labor,Adjusted Labor,Electrical,Production,1/6/2025,3.1,2.5,234.03,513.03,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,279,225,54,Low,Corrected,1,High-Risk
107,2,2343096,TB,Unnecessary Repair,No Action,Engine,Retail,1/8/2025,3.8,3.2,83.93,425.93,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,342,288,54,Low,Unaddressed,1,Low-Risk
108,3,2343162,SS,Overlapping Labor,No Action,Brakes,Production,1/18/2025,4,3.4,169.01,529.01,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,360,306,54,Low,Unaddressed,1,High-Risk
109,4,2343257,CM,Overlapping Labor,Adjusted Labor,Electrical,Retail,1/23/2025,0.9,0.3,278.2,359.2,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,81,27,54,Low,Corrected,1,High-Risk
110,5,2343342,CM,Unnecessary Repair,Coaching Only,Alignment,Production,1/29/2025,0.9,0.3,81.85,162.85,No,Unnecessary Repair on Alignment work; review labor guide and WIP usage.,90,81,27,54,Low,Other,1,Low-Risk
111,6,2343412,CM,Unnecessary Repair,No Action,AC / HVAC,Retail,2/6/2025,4.5,3.9,364.44,769.44,Yes,Unnecessary Repair on AC / HVAC work; review labor guide and WIP usage.,90,405,351,54,Low,Unaddressed,1,Low-Risk
112,7,2343449,MM,High Cost Repair,Adjusted Labor,Electrical,Retail,2/18/2025,0.9,0.3,111.82,192.82,Yes,High Cost Repair on Electrical work; review labor guide and WIP usage.,90,81,27,54,Low,Corrected,1,High-Risk
113,7,2343465,FF,High Cost Repair,Declined,Maintenance,Retail,2/12/2025,0.9,0.3,227.65,308.65,Yes,High Cost Repair on Maintenance work; review labor guide and WIP usage.,90,81,27,54,Low,Corrected,1,Low-Risk
114,7,2343490,RL,Unnecessary Repair,No Action,Diagnostics,Retail,2/14/2025,4.2,3.6,156.13,534.13,No,Unnecessary Repair on Diagnostics work; review labor guide and WIP usage.,90,378,324,54,Low,Unaddressed,1,Low-Risk
115,8,2343551,AL,Incorrect Labor Time,Adjusted Labor,Brakes,Production,2/19/2025,0.9,0.3,442.98,523.98,No,Used full R&R rotor and pad labor instead of combo labor (2.0/1.6).,90,81,27,54,Low,Corrected,1,High-Risk
116,2,2343142,KC,Overlapping Labor,No Action,Engine,Retail,1/14/2025,3.3,2.8,10.94,307.94,No,Overlapping Labor on Engine work; review labor guide and WIP usage.,90,297,252,45,Low,Unaddressed,1,Low-Risk
117,4,2343249,KG,Incorrect Labor Time,Declined,AC / HVAC,Production,1/24/2025,2.2,1.7,147.9,345.9,No,Incorrect Labor Time on AC / HVAC work; review labor guide and WIP usage.,90,198,153,45,Low,Corrected,1,Low-Risk
118,6,2343437,RB,Unnecessary Repair,No Action,Noise / Rattle,Production,2/9/2025,2.2,1.7,336.42,534.42,No,Unnecessary Repair on Noise / Rattle work; review labor guide and WIP usage.,90,198,153,45,Low,Unaddressed,1,Low-Risk
119,1,2343010,CM,Overlapping Labor,Adjusted Labor,Electrical,Retail,1/2/2025,1.1,0.6,236.14,335.14,No,Overlapping Labor on Electrical work; review labor guide and WIP usage.,90,99,54,45,Low,Corrected,1,High-Risk
